,GM (Glutamate/Malate),,,,,,,PM (Pyruvate/Malate),,,,,,,PcM (Palmitoyl-Carnitine/Malate),,,,,,,PMPc (Pyruvate/Malate/Palmitoyl-Carnitine),,,,,,,PMOc (Pyruvate/Malate/Octanoyl-Carnitine),,,,,,,OcM (Octanoyl-Carnitine/Malate),,,,,,
Subject,Basal,-12.95,-13.65,-13.95,-14.19,-14.36,-14.49,Basal,-12.95,-13.65,-13.95,-14.19,-14.36,-14.49,Basal,-12.95,-13.65,-13.95,-14.19,-14.36,-14.49,Basal,-12.95,-13.65,-13.95,-14.19,-14.36,-14.49,Basal,-12.95,-13.65,-13.95,-14.19,-14.36,-14.49,Basal,-12.95,-13.65,-13.95,-14.19,-14.36,-14.49
NT1,1281.63,13626.77,11946.57,8950.77,6921.53,5487.89,4464.86,1006.99,13454.36,11056.88,7427.06,5318.71,4078.84,3337.49,1045.63,5002.15,4706.2,4206.3,3834.5,3404.32,3090.45,1394.52,10028.7,8937.42,7224.76,5863.08,4859.99,4116.68,1140.14,13473.94,11656.76,8765.64,6822.15,5492.12,4565.35,1150.41,5471.55,5079.86,4560.04,4064.62,3685.75,3375.94
NT2,1083.73,15070.78,13218.91,9831.83,7421.48,5882.23,4778.56,774.99,15412.42,12289.31,7850.79,5571.65,4151.6,3277.41,922.63,5635.36,5241.82,4771.15,4265.5,3803.32,3455.43,1085.9,10795.68,9562.28,7670.31,6164.21,5146.46,4376.04,956.62,14810.93,12578.41,8983.55,6794.55,5319.85,4407.1,1032.06,5536.11,5167.18,4611.88,4053.76,3650.74,3320.38
NT3,893.67,14794.51,12843.75,9450.3,7142.78,5604.05,4519.28,750.14,14784.68,11642.89,7456.29,5246.31,3926.93,3225.55,827.06,5515.99,5215.12,4823.89,4397.54,4012.77,3653.14,866.34,10745.44,9539.74,7600.59,6155.19,5026.07,4226.98,899.84,15204.41,12838.62,9337.41,7155.82,5673.09,4611.99,904.54,6397.42,6009.57,5472.51,4902.78,4417.52,4000.54
NT4,1297.05,14960.39,13296.75,10056.11,7495.58,5936.95,4858.8,816.53,15502.9,12243.38,7704.21,5456.89,4077.56,3279.9,1020.04,5666.27,5231.18,4658.48,4129.04,3712.56,3378.42,1249.34,9730.63,8714.67,7065.23,5727.37,4805.43,4070.18,997.75,14257.34,12377.11,9136.09,6926.59,5416.57,4485.05,1092.6,5792.99,5415.98,4755.9,4162.06,3709,3372.68
NT5,714.57,13349.95,11647.96,8613.42,6596.01,5232.35,4271.44,594.22,12985.23,10228.77,6886.41,5004.93,3959.36,3292.48,681.97,4231.37,3915.69,3628.65,3379.08,3126.38,2855.31,567.55,9354.87,8320.23,6625.96,5314.1,4565.31,3816.91,643.75,12453.37,10894.14,8151.17,6384.27,5172.45,4290.32,709.31,4746.28,4379.87,4010.02,3671.94,3398.18,3095.95
NT6,1171.77,13786.52,11642.01,8778.23,6039.19,4538.91,3514.49,739.91,13663.65,9206.54,5546.1,3020.24,2219.79,1668.71,1017.29,4263.05,,,,,,1234.44,8929.41,6414.76,4089.07,2582.19,1686.59,1197.15,1053.76,13116.02,10197.44,7103.24,4413.39,3329.27,2584.76,1125.38,4506.29,,,,,
Tg1,1738.67,15333.83,13397.49,10084.31,7722.61,6090.02,4924.13,930,15779.98,12610.18,7965.05,5692.97,4459.99,3703.65,1112.61,6287.38,5870.85,5356.54,4988.76,4608.91,4192.57,1712.4,12592.28,11122.74,8690.25,6857.1,5545.14,4619.29,1457.32,15396.47,13199.61,9645.52,7348.04,5855.8,4795.52,1564.19,5866.09,5536.92,5057.69,4656.27,4367.5,4049.52
Tg2,1329.73,15945.4,13794.33,10161.87,7741.32,6078.85,4911.21,848.07,15896.83,12545.88,7822.29,5525.1,4277.91,3457.96,1259.97,6678.08,6245.22,5746.77,5279.14,4827.95,4362.4,1352.19,14492.16,12562.19,9604.4,7492.52,6083.5,5019.54,1078.34,15852.57,13376.07,9689.27,7260.82,5578.07,4402.93,1273.62,6536.14,6104.49,5615.12,5188.47,4805.35,4405.81
Tg3,1093.77,16657.44,14278.25,10342.67,7795.33,6088.83,4875.05,837.32,15897.86,12374.94,7430.51,5226.88,4030.19,3253.92,1000.92,8515.13,7979.44,7320.11,6738.26,6090.07,5425.97,1032.15,14254.77,12446.21,9435.92,7319.39,5914.11,4823.45,1096.1,16498.07,13758.8,9735.98,7383.2,5869.49,4761.13,1096.36,8013.4,7515.72,6830.2,6252.63,5755.97,5195.43
Tg4,1952.12,17630.5,15227.2,11001.93,8335.86,6510.71,5316.8,866.41,15852.37,12245.34,7568.17,5571.34,4240.13,3463.53,1468.32,7721.62,7265.12,6537.32,5830.71,5135.28,4515.75,1947.25,14140.64,12523.69,9695.69,7470.74,5983.12,4930.19,1409.28,17034.91,14356.71,10350.27,7903.11,6136.28,4955.82,1508.67,7564.76,7045.26,6419.59,5861.85,5323.72,4769.9
Tg5,1031.09,17044.02,14309.32,10021.25,7720.08,6070.39,4958.08,828.19,16338.62,12198.36,7390.09,5474.07,4258.84,3616.1,1067.69,8012.04,7420.12,6707.99,6210.84,5673.1,5099.17,938.72,15054.61,13090.11,9587.28,7269.42,5899.38,4741.39,1099,18530.14,15284,10623.06,8160.19,6484.65,5340.7,1127.4,8227.02,7355.97,6626.25,6094.89,5576.87,5007.22
Tg6,1719.76,16981.68,14160.58,10109.74,6976.35,5272.81,4091.56,893.53,14825.83,10836.1,6357.7,4044.97,3115.46,2544.3,1582.7,6788.19,,,,,,1831.42,14517.08,10341.57,6279.58,3585.62,2009.06,1385.56,1504.96,17317.18,13478.81,9024.56,5348.87,4000.72,3014.38,1661.83,7689.97,,,,,
